flye,hybridspades,metaflye_nextpolish,metamdbg,metamdbg_nextpolish,myloasm,myloasm_nextpolish,opera_ms
CAG-882 sp900545175,Faecalibacterium longum,Lachnospira sp000437735,Ruminococcoides intestinihominis,Apopatocola sp003522945,UMGS1071 sp900542375,COE1 sp001916965,Faecalibacterium duncaniae
Eubacterium_F sp003491505,Dorea_D hominis,Hominibacterium hominis,Fusicatenibacter saccharivorans,Alistipes putredinis,Hominicoprocola fusiformis,Faecalibacterium prausnitzii_I,Ruminococcoides intestinihominis
Blautia_A sp900120195,Hominibacterium hominis,Dorea_D hominis,Vescimonas sp000435555,COE1 sp001916965,Lachnospira sp000436475,Muricoprocola aceti,Fusicatenibacter saccharivorans
CAG-492 sp000434335,Butyribacter hominis,Faecalibacterium longum,Roseburia rectibacter,Faecalibacterium prausnitzii_I,Choladousia sp902363135,Lachnospira sp000437735,Roseburia rectibacter
Bariatricus comes,Prevotella rara,Butyribacter hominis,CAG-269 sp000437215,Muricoprocola aceti,Vescimonas coprocola,Hominibacterium hominis,Eubacterium_I ramulus
Jutongia sp003524945,Lachnospira eligens_A,Prevotella rara,Coprococcus aceti,Hominibacterium hominis,Roseburia inulinivorans,Butyribacter hominis,CAG-269 sp000437215
UMGS1071 sp900542375,Coprococcus_A catus,Lachnospira eligens_A,Oliverpabstia intestinalis,Lachnospira sp000437735,Pararoseburia lenta,Dorea_D hominis,Coprococcus aceti
CAG-302 sp934162325,Faecalibacterium duncaniae,Coprococcus_A catus,CAG-245 sp000435175,Butyribacter hominis,Enterocloster sp001517625,Faecalibacterium longum,CAG-245 sp000435175
Hominiventricola filiformis,Ruminococcoides intestinihominis,Lachnospira sp000436535,Mediterraneibacter lactaris,Faecalibacterium longum,Oscillibacter welbionis,Lachnospira eligens_A,Mediterraneibacter lactaris
Lachnospira sp000436475,Blautia_A sp003471165,Ruminococcoides intestinihominis,Blautia_A acetigignens,Dorea_D hominis,CAG-103 sp900543625,Barnesiella intestinihominis,Otoolea sp000435655
