metaflye_2_8_3_contamination,metaflye_2_8_3_sr_contamination,metaflye_2_9_6_contamination,metaflye_2_9_6_sr_contamination,metaMDBG_contamination,metaMDBG_sr_contamination,myloasm_contamination,myloasm_sr_contamination,opera_ms_contamination,raven_contamination,raven_sr_contamination,hybridspades_contamination
8.11,2.83,1.13,1.26,8.91,0.02,7.42,3.1,0.02,7.75,5.07,3.07
1.84,3.6,7.97,0.62,1.66,6.56,1.84,0.82,2.72,0.74,7.5,0.21
4.96,4.28,3.05,3.16,4.46,0.99,4.03,1.47,2.0,3.8,3.81,2.67
5.07,2.06,0.71,6.1,3.36,1.25,6.19,5.73,1.93,1.52,2.06,0.08
0.85,0.98,2.09,2.41,9.4,3.31,3.1,0.67,0.89,5.47,7.96,1.23
0.98,0.79,2.54,0.86,3.57,7.86,5.05,4.38,2.74,0.6,0.15,3.79
1.18,3.37,0.58,0.5,1.28,0.1,3.63,7.33,4.13,8.5,6.85,3.0
8.22,2.71,4.06,0.65,5.98,0.26,0.7,8.2,1.3,9.01,1.93,1.18
4.79,2.11,0.48,6.54,1.99,0.04,6.06,2.66,0.2,7.83,6.93,1.52
5.58,6.08,0.68,0.84,2.8,0.51,2.28,1.78,1.18,4.78,1.77,0.04
2.36,2.33,9.79,3.67,5.22,0.05,3.44,2.0,0.04,2.75,0.29,9.85
4.2,6.38,5.03,7.04,3.21,0.38,8.64,3.46,1.59,6.71,0.27,3.64
7.68,0.29,0.2,4.07,1.76,3.7,1.65,0.0,1.16,0.91,1.86,5.74
1.33,0.19,1.75,0.37,2.69,2.79,0.31,3.27,1.65,5.21,6.94,1.94
2.16,3.92,7.03,7.95,4.83,0.21,6.96,8.69,0.19,1.74,0.99,0.47
2.31,1.96,6.73,1.1,0.05,1.83,1.0,4.93,0.39,5.08,3.41,3.7
1.02,4.69,1.38,0.01,1.08,5.85,1.2,8.22,0.38,8.82,8.82,1.57
1.46,0.93,4.85,0.92,0.39,0.68,2.92,4.08,0.58,8.55,4.14,2.56
1.87,0.33,4.19,1.48,2.05,0.88,6.12,7.69,8.54,5.09,4.61,1.09
0.94,1.07,1.03,3.6,2.54,1.54,4.42,2.62,0.78,6.69,1.94,3.94
4.8,7.8,1.92,0.03,2.35,5.94,0.17,2.76,0.07,4.52,0.87,2.14
1.06,1.07,4.2,1.33,2.79,1.6,5.64,7.45,0.67,8.33,0.71,4.69
4.45,1.36,5.53,0.19,1.37,0.02,2.91,0.17,7.93,8.07,0.31,1.83
4.43,0.0,1.74,0.6,1.13,9.49,1.48,8.24,3.6,6.42,3.66,0.79
6.15,0.48,6.18,1.82,2.21,4.12,9.38,0.58,0.39,1.93,1.62,0.0
6.1,1.88,5.51,2.94,3.37,4.1,0.23,3.14,9.97,3.98,0.64,1.09
3.21,3.18,2.65,0.47,0.46,1.35,0.2,5.6,0.87,9.21,0.56,0.95
5.05,9.3,1.71,0.44,0.83,3.41,8.39,2.19,1.55,9.13,3.53,2.65
0.77,5.97,6.3,2.47,0.52,5.06,2.51,5.73,0.02,0.14,7.19,2.19
0.49,9.5,1.76,4.82,2.14,3.57,5.69,2.65,1.22,6.92,6.18,2.13
1.64,1.34,4.29,1.42,4.52,4.17,1.83,5.18,0.0,0.67,5.31,0.2
8.24,1.4,1.19,0.28,2.45,5.11,1.46,0.53,3.0,5.71,1.15,1.41
3.04,0.22,1.08,0.63,4.64,4.42,1.91,0.28,0.37,3.78,0.01,3.06
4.53,0.08,0.28,0.67,1.56,3.95,8.82,3.33,1.5,3.33,2.98,0.29
8.64,2.94,4.75,2.93,3.1,4.08,0.77,0.24,5.37,1.42,2.17,3.27
5.88,4.17,0.52,0.05,6.51,6.36,3.16,0.37,0.01,3.8,1.66,1.75
2.79,1.83,7.75,1.9,2.13,7.84,7.84,0.97,3.03,2.51,1.49,1.76
5.12,1.98,1.68,2.73,0.38,6.74,4.71,0.82,0.33,3.85,5.4,0.26
